Size,Type,Algorithm,Time_microseconds
8900,Reverse Sorted,Hybrid Merge+Insertion Sort,6300
8900,Nearly Sorted,Standard Merge Sort,20350
8900,Nearly Sorted,Hybrid Merge+Insertion Sort,4678
9000,Random,Standard Merge Sort,20861
9000,Random,Hybrid Merge+Insertion Sort,5755
9000,Reverse Sorted,Standard Merge Sort,21019
9000,Reverse Sorted,Hybrid Merge+Insertion Sort,5461
9000,Nearly Sorted,Standard Merge Sort,20493
9000,Nearly Sorted,Hybrid Merge+Insertion Sort,4723
9100,Random,Standard Merge Sort,21722
9100,Random,Hybrid Merge+Insertion Sort,6573
9100,Reverse Sorted,Standard Merge Sort,20468
9100,Reverse Sorted,Hybrid Merge+Insertion Sort,4977
9100,Nearly Sorted,Standard Merge Sort,23048
9100,Nearly Sorted,Hybrid Merge+Insertion Sort,5183
9200,Random,Standard Merge Sort,21266
9200,Random,Hybrid Merge+Insertion Sort,5804
9200,Reverse Sorted,Standard Merge Sort,19201
